total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
1377,313,165,0,1064,127.9883805,4.323527867,3.433987204,1
1214,250,114,0,964,128.5733114,3.654730429,2.397895273,1
1772,405,210,0,1367,127.8126411,4.658596245,3.871201011,1
1628,313,159,0,1315,129.9643735,4.209055822,2.833213344,1
3122,2161,1024,0,961,97.48750801,1.494467164,6.063604384,1
2241,2241,1121,0,0,79.01115573,0.560399534,6.315326562,1
2247,2247,1124,0,0,79.01112595,0.563313924,6.304069328,1
3507,841,440,0,2666,127.170231,1.101408004,5.439967653,1
2984,174,84,0,2810,138.2761394,0.56522492,2.397895273,1
2159,141,76,0,2018,138.012969,0.562105081,2.079441542,1
2338,139,66,0,2199,138.1796407,0.538533618,2.079441542,1
2765,199,108,0,2566,137.6195298,0.634178999,2.833213344,1
2106,149,69,0,1957,137.4121557,0.67219681,2.63905733,1
3041,246,140,0,2795,137.1831634,0.660041373,2.564949357,1
2798,208,83,0,2589,136.9413867,0.753949616,2.995732274,1
2501,157,78,0,2345,138.0351859,0.636634969,2.615630577,1
2103,135,72,0,1968,138.0627675,0.599274331,1.609437912,1
3312,348,191,0,2964,135.6370773,0.649358094,3.17805383,1
2188,168,87,0,2020,137.2312614,0.470667425,1.609437912,1
2410,154,72,0,2256,137.8705394,0.676639509,3.044522438,1
3330,350,160,0,2980,135.1831832,0.893353072,4.199649766,1
5804,5804,0,0,0,154,0.506639558,5.397536683,1
4456,4456,0,0,0,154,0.283843354,5.955070167,1
3380,3380,0,0,0,154,0.306576749,6.627463502,1
2457,2457,0,0,0,154,0.26924449,5.226907511,1
4006,4006,0,0,0,154,0.320606174,5.680992601,1
4822,4822,0,0,0,154,0.303611301,5.923030194,1
4213,4213,0,0,0,154,0.26734967,6.368724341,1
5638,5638,0,0,0,154,0.340315496,5.959979462,1
5540,5540,0,0,0,154,0.311129155,5.907320854,1
5412,5412,0,0,0,154,0.262863313,5.920054692,1
5383,5383,0,0,0,154,0.324600859,6.713222259,1
3346,3346,0,0,0,154,0.277754075,5.58786628,1
2554,2554,0,0,0,154,0.317633938,6.103158548,1
1424,1424,0,0,0,154,0.396901993,5.227978707,1
3293,3293,0,0,0,105.5031886,6.300785795,0,1
2492,2492,0,0,0,93.00481541,5.030437921,0,1
2942,2942,0,0,0,93.97280761,5.402677382,0,1
2233,2233,0,0,0,93.99104344,5.332718793,0,1
2438,2438,0,0,0,95.85808039,5.318119994,0,1
2281,2281,0,0,0,94.88119246,5.111987788,0,1
2253,2253,0,0,0,92.81491345,4.430816799,0,1
3686,3686,0,0,0,96.28160608,5.638354669,0,1
2604,2604,0,0,0,94.89861751,5.365976015,0,1
2536,2536,0,0,0,93.17586751,5.288267031,0,1
2429,2429,0,0,0,96.09551256,5.252273428,0,1
3276,3276,0,0,0,91.63736264,5.030437921,0,1
3344,3344,0,0,0,101.2488038,5.955837369,0,1
1471,1470,0,1,0,78.73691366,5.093750201,0.074694356,1
269,0,0,255,14,43.45724907,0,3.433987204,1
154,0,0,149,5,42.90909091,0.636514168,2.245952081,1
173,0,0,163,10,43.61849711,0,3.091042453,1
185,0,0,179,6,42.90810811,0,2.833213344,1
418,0,0,412,6,42.40191388,0,3.871201011,1
252,0,0,247,5,42.55555556,0,3.433987204,1
324,0,0,317,7,42.60493827,0,3.17805383,1
129,0,0,123,6,43.30232558,0.348832096,2.197224577,1
92,0,0,85,7,44.13043478,0,1.791759469,1
125,0,0,119,6,43.344,0.500402424,1.609437912,1
101,0,0,95,6,43.66336634,0.562335145,1.386294361,1
91,0,0,85,6,43.84615385,0,0.693147181,1
83,0,0,77,6,44.02409639,0,1.098612289,1
616,1,1,613,2,42.19155844,0.752628397,5.043425117,1
3384,3385,1856,0,0,81.40839243,0.69893841,5.647390527,1
5666,5666,2975,0,0,80.2530886,0.814956474,4.823826953,1
5903,5903,3011,0,0,79.50398103,0.781337322,4.943486609,1
4969,4969,2426,0,0,78.41135037,0.821323675,5.295127171,1
6817,6817,3381,0,0,78.79096377,0.642838769,6.091047274,1
3587,3587,1541,0,0,75.48034569,0.765249349,5.512014519,1
2297,2297,1149,0,0,79.01088376,0.867825746,5.677288362,1
2296,2296,1148,0,0,79,0.867291976,5.658051412,1
2280,2280,1140,0,0,79,0.86783055,5.66836607,1
2292,2292,1146,0,0,79,0.867563228,5.666107826,1
